Transaction,Project No,Branch,Manager,Type,Cost,Document type
8-Aug-12,P1088,6060,JMOLLOY,PY,1176,TS
24-Oct-12,P1088,6060,JMOLLOY,PY,784,TS
24-Oct-12,P1088,6060,JMOLLOY,PY,294,TS
31-Oct-12,P1088,6060,JMOLLOY,PY,147,TS
28-Nov-12,P1088,6060,JMOLLOY,PY,490,TS
28-Nov-12,P1088,6060,JMOLLOY,PY,490,TS
16-Jan-13,P1088,6060,JMOLLOY,PY,98,TS
23-Jan-13,P1088,6060,JMOLLOY,PY,98,TS
23-Jan-13,P1088,6060,JMOLLOY,PY,539,TS
23-Jan-13,P1088,6060,JMOLLOY,PY,73.5,TS
13-Feb-13,P1088,6060,JMOLLOY,PY,392,TS
10-May-12,P1088,6060,JMOLLOY,PP,94.03,PO
6-Jul-12,P1088,6060,JMOLLOY,PP,91.75,PO
29-Aug-12,P1088,6060,JMOLLOY,PP,-38.51,PO
31-Oct-12,P1086,6060,JMOLLOY,IN,-3500,SO
25-Jul-12,P1086,6060,JMOLLOY,PY,294,TS
25-Jul-12,P1086,6060,JMOLLOY,PY,686,TS
24-Sep-12,P1083,6060,JMOLLOY,CI,3.27,CV
10-Apr-12,P1084,6060,JMOLLOY,IN,-10354.47,SO
27-Apr-12,P1084,6060,JMOLLOY,IN,-34514.9,SO
18-May-12,P1084,6060,JMOLLOY,IN,-34514.9,SO
20-Jul-12,P1084,6060,JMOLLOY,IN,-20000,SO
17-Aug-12,P1084,6060,JMOLLOY,IN,-17257.45,SO
17-Sep-12,P1084,6060,JMOLLOY,IN,-10354.47,SO
15-Oct-12,P1084,6060,JMOLLOY,IN,-38769.3,SO
20-Mar-13,P1084,6060,JMOLLOY,IN,-10500,SO
16-Jul-12,P1084,6060,JMOLLOY,CI,22.76,CV
13-Mar-12,P1084,6060,JMOLLOY,CI,2.73,CV
22-Mar-12,P1084,6060,JMOLLOY,CI,12.05,CV
27-Mar-12,P1084,6060,JMOLLOY,CI,137.91,CV
17-Apr-12,P1084,6060,JMOLLOY,CI,36.16,CV
30-Apr-12,P1084,6060,JMOLLOY,CI,299.09,CV
6-May-12,P1084,6060,JMOLLOY,CI,10.91,CV
6-May-12,P1084,6060,JMOLLOY,CI,9.09,CV
6-May-12,P1084,6060,JMOLLOY,CI,11.82,CV
17-May-12,P1084,6060,JMOLLOY,CI,58.18,CV
17-May-12,P1084,6060,JMOLLOY,CI,68.18,CV
17-May-12,P1084,6060,JMOLLOY,CI,67.27,CV
17-May-12,P1084,6060,JMOLLOY,CI,58.18,CV
17-May-12,P1084,6060,JMOLLOY,CI,61.82,CV
2-Jul-12,P1084,6060,JMOLLOY,CI,30.91,CV
2-Jul-12,P1084,6060,JMOLLOY,CI,55.55,CV
2-Jul-12,P1084,6060,JMOLLOY,CI,49.82,CV
16-Jul-12,P1084,6060,JMOLLOY,CI,311.82,CV
15-Aug-12,P1084,6060,JMOLLOY,CI,181.82,CV
